stop_id,stop_lat,stop_lon,stop_desc
511515,3.3454219488,-76.5165850717,Kr 121A entre Cl 47 y 47A
511516,3.3451500056,-76.5145891261,Cl 48 entre Kr 121A y 122
511517,3.3442395145,-76.5164063185,Kr 122 entre Cl 47A y 47
511518,3.3437136855,-76.5189265011,Kr 122 entre Cl 45 y 44
511519,3.3429605012,-76.5210952554,Kr 122 entre Cl 42 y 30
511567,3.3446627274,-76.52393,Cl 25 entre Cl 30 y Kr 121
511021,3.3535654522,-76.5231895653,Cl 25 entre Kr 117 y 115
511528,3.3532657109,-76.520526,Cl 42 entre Kr 115 y 116
511085,3.3179885687,-76.5166834387,Kr 143 con Cl 42
511128,3.3181799221,-76.5144144085,Kr 143 entre Cl 48 y 42
511129,3.3178280909,-76.5185625652,Kr 143 entre Cl 42 y 36
511184,3.3275801515,-76.5221955069,Cl 36 entre Kr 134 y 129
511343,3.3233215458,-76.5222651277,Cl 36 entre Kr 139 y 134
511090,3.3871934252,-76.5199817728,Cl 42 entre Kr 81A y 81
511098,3.3802647384,-76.5202535005,Cl 42 entre Kr 85E y 85D
511099,3.3825961439,-76.520199901,Cl 42 entre Kr 84 y 83E
511537,3.3716206717,-76.5491910012,Cl 3 con Kr 98
511106,3.3884587296,-76.5172215879,Kr 80 entre Cl 46 y 48
511267,3.3799721085,-76.5161773473,Cl 48 entre Kr 86 y 85D
511268,3.3826421591,-76.5161760414,Cl 48 entre Kr 84 y 83E
511269,3.3854727258,-76.5161743408,Cl 48 entre Kr 83A y 82A
511270,3.3875858995,-76.5161376824,Cl 48 entre Kr 81 y 80
511271,3.3885498723,-76.5177631033,Kr 80 entre Cl 46 y 45
511324,3.3803392513,-76.5204519143,Cl 42 entre Kr 85C y 85E
511419,3.3793441432,-76.5208489322,Kr 86 entre Cl 35 y 34
511420,3.3801918594,-76.5232114425,Kr 85C entre Cl 33 y 28
511464,3.3838454502,-76.5143303865,Kr 83C entre Cl 50 y 48A
511465,3.3838513954,-76.5159376923,Kr 83C entre Cl 48A y 48
511467,3.3836505196,-76.51539193,Kr 83C con Cl 48A
511468,3.3846115752,-76.5201511959,Cl 42 entre Kr 83C y 83B
511469,3.3870697062,-76.5166043722,Cl 48 entre Kr 81 y 82
511489,3.3853905175,-76.5166085079,Cl 48 entre Kr 82 y 83A
511490,3.3822751342,-76.5166082002,Cl 48 entre Kr 83E y 85
511491,3.3796757147,-76.5166118042,Cl 48 entre Kr 85E y 86
511005,3.3739318889,-76.5371201153,Cl 13 entre Kr 100 y 86
511234,3.3754929439,-76.5371945549,Cl 13 entre Kr 100 y 86_2
511305,3.3797858593,-76.5325679708,Kr 86 entre Cl 14 y 16
511509,3.370349457,-76.5349836263,Kr 100 entre Cl 16 y 13
511510,3.3724359901,-76.5370633216,Cl 13 entre Kr 100 y 86_1
514442,3.3696318711,-76.5296880264,Cl 16 entre Kr 98 y 100
